Size,Num_threads,Time_Seconds,Operations
100,2,0.0068182,2000000
100,4,0.0048561,2000000
100,8,0.0040921,2000000
100,12,0.0046385,2000000
200,2,0.0614778,16000000
200,4,0.0450437,16000000
200,8,0.0260608,16000000
200,12,0.0294393,16000000
500,2,0.847782,250000000
500,4,0.500781,250000000
500,8,0.368782,250000000
500,12,0.33984,250000000
1000,2,6.76511,2000000000
1000,4,3.59463,2000000000
1000,8,2.9251,2000000000
1000,12,2.5509,2000000000
2000,2,72.0846,16000000000
2000,4,37.6626,16000000000
2000,8,28.7717,16000000000
2000,12,23.8286,16000000000
